A,B,C,G,,,,
43603,44095,42614,0,330.59,17.28,16.04,41.31
43603,44117,42614,0,329.58,15.89,16.59,41.43
43603,44117,42489,0,329.47,16.36,16.20,41.55
43603,44117,42489,0,329.53,16.57,16.11,41.57
43810,44117,42489,0,328.60,16.18,16.13,41.69
43810,44296,42489,0,327.98,16.09,16.11,41.81
43810,44296,42438,0,326.10,17.32,15.20,41.93
43810,44296,42438,0,325.63,17.76,15.08,41.95
43722,44296,42438,0,325.34,18.93,15.91,42.07
43722,44633,42438,0,323.87,19.30,16.47,42.19
43722,44633,42491,0,324.35,20.70,16.22,42.31
43722,44633,42491,0,324.34,20.74,16.18,42.33
43920,44633,42491,0,321.78,21.39,16.45,42.45
43920,44931,42491,0,320.82,20.20,15.66,42.57
43920,44931,42589,0,318.17,21.12,14.30,42.69
43920,44931,42589,0,318.16,21.56,14.03,42.71
43909,44931,42589,0,318.93,21.38,14.52,42.83
43909,44806,42589,0,317.50,23.85,13.82,42.95
43909,44806,42822,0,316.20,23.42,13.71,43.07
43909,44806,42822,0,316.16,23.33,13.79,43.09
43692,44806,42822,0,316.10,24.40,13.26,43.21
43692,44256,42822,0,317.16,24.32,13.15,43.33
43692,44256,42805,0,316.39,25.96,13.31,43.45
43692,44256,42805,0,316.29,26.64,13.27,43.47
43647,44256,42805,0,314.84,27.99,12.64,43.59
43647,44320,42805,0,312.60,30.54,12.63,43.71
43647,44320,42934,0,312.04,31.09,12.67,43.83
43647,44320,42934,0,311.82,31.48,12.74,43.85
43515,44320,42934,0,314.23,29.85,13.44,43.97
43515,44266,42934,0,314.29,30.81,12.84,44.09
43515,44266,42988,0,313.98,31.28,11.67,44.21
43515,44266,42988,0,313.02,31.92,11.50,44.23
43827,44266,42988,0,312.74,31.73,11.78,44.35
43827,44374,42988,0,313.99,32.16,11.88,44.47
43827,44374,43021,0,312.31,33.53,11.87,44.59
43827,44374,43021,0,311.65,33.72,11.92,44.61
44049,44374,43021,0,308.58,35.59,12.04,44.73
44049,44112,43021,0,309.09,36.28,12.88,44.85
44049,44112,42979,0,310.00,35.40,12.36,44.97
44049,44112,42979,0,309.42,35.47,12.31,44.99
43806,44112,42979,0,308.63,36.18,11.98,45.11
43806,44212,42979,0,308.33,36.52,11.91,45.23
43806,44212,42976,0,307.65,36.76,11.71,45.35
43806,44212,42976,0,307.27,37.12,11.74,45.37
43605,44212,42976,0,307.53,39.80,13.16,45.49
43605,43694,42976,0,308.59,39.49,12.99,45.61
43605,43694,42901,0,309.97,37.22,13.24,45.73
43605,43694,42901,0,309.87,36.73,13.30,45.75
43464,43694,42901,0,311.19,36.39,13.29,45.87
43464,43927,42901,0,314.64,35.02,13.54,45.99
43464,43927,42789,0,315.74,34.17,13.33,46.10
43464,43927,42789,0,315.10,33.98,13.31,46.13
43703,43927,42789,0,315.96,33.61,13.74,46.25
43703,43976,42789,0,317.07,32.01,14.05,46.37
43703,43976,42446,0,317.75,31.43,13.83,46.48
43703,43976,42446,0,317.36,31.19,13.78,46.51
43453,43976,42446,0,317.00,30.92,13.78,46.63
43453,43287,42446,0,316.84,30.43,13.88,46.74
43453,43287,42359,0,317.36,29.11,14.03,46.86
43453,43287,42359,0,317.38,28.97,14.05,46.88
43555,43287,42359,0,317.32,29.03,14.17,47.00
43555,41952,42359,0,316.37,28.66,14.21,47.12
43555,41952,41912,0,317.46,28.61,14.32,47.23
43555,41952,41912,0,318.02,28.71,14.34,47.26
43059,41952,41912,0,317.57,28.00,14.26,47.37
43059,41396,41912,0,318.87,27.76,14.05,47.49
43059,41396,42368,0,319.96,27.16,13.76,47.60
43059,41396,42368,0,320.37,27.20,13.72,47.63
43183,41396,42368,0,321.09,27.40,13.69,47.74
43183,41700,42368,0,323.89,28.22,13.84,47.86
43183,41700,42316,0,325.38,25.97,14.93,47.97
43183,41700,42316,0,325.69,25.74,15.09,48.00
