"A","B","C","G","","","","","",""
"29606","48318","32062","1","345.20","5.11","15.38","39.08","",""
"29606","48318","32062","1","345.23","4.80","15.40","39.11","",""
"29873","48318","32062","1","345.05","2.98","15.92","39.19","",""
"29873","47794","32062","1","345.04","2.92","16.13","39.32","",""
"29873","47794","31771","1","344.48","3.65","16.39","39.41","",""
"29873","47794","31771","1","344.46","3.80","16.47","39.44","",""
"29953","47794","31771","1","344.45","4.10","16.65","39.53","",""
"29953","46300","31771","1","344.61","3.72","16.74","39.65","",""
"29953","46300","31225","1","344.86","3.63","16.91","39.74","",""
"29953","46300","31225","1","345.35","3.96","16.93","39.77","",""
"29661","46300","31225","1","345.48","3.74","16.94","39.86","",""
"29661","48432","31225","1","346.32","3.84","16.96","39.98","",""
"29661","48432","31977","1","345.79","3.90","17.06","40.08","",""
"29661","48432","31977","1","345.36","3.81","17.10","40.10","",""
"29865","48432","31977","1","345.75","3.65","17.36","40.19","",""
"29865","47832","31977","1","345.72","3.31","17.53","40.32","",""
"29865","47832","31702","1","345.63","3.31","17.71","40.41","",""
"29865","47832","31702","1","345.49","3.44","17.79","40.44","",""
"30023","47832","31702","1","348.79","0.26","18.72","40.53","",""
"30023","46333","31702","1","347.11","1.01","18.79","40.65","",""
"30023","46333","31716","1","346.49","1.51","18.89","40.74","",""
"30023","46333","31716","1","346.36","1.77","18.94","40.77","",""
"29501","46333","31716","1","346.28","1.90","19.08","40.86","",""
"29501","48137","31716","1","346.14","2.59","19.20","40.98","",""
"29501","48137","32194","1","345.66","2.44","19.44","41.08","",""
"29501","48137","32194","1","345.87","2.42","19.42","41.10","",""
"29918","48137","32194","1","344.85","1.55","19.47","41.19","",""
"29918","48211","32194","1","345.31","2.20","19.43","41.32","",""
"29918","48211","31954","1","344.86","2.26","19.63","41.41","",""
"29918","48211","31954","1","344.85","2.37","19.63","41.44","",""
"29615","48211","31954","1","343.81","3.59","19.56","41.53","",""
"29615","45844","31954","1","343.87","3.76","19.82","41.65","",""
