A,B,C,G,,,,,,,,,
45717,36809,47652,0,31.14,297.40,-159.12,32.59,,,,,
45717,36809,47652,0,30.90,297.62,-159.18,32.62,,,,,
45996,36809,47652,0,31.52,296.13,-158.97,32.74,,,,,
45996,36524,47652,0,30.89,296.79,-157.83,32.84,,,,,
45996,36524,47686,0,31.93,301.81,-157.45,32.97,,,,,
45996,36524,47686,0,32.54,302.85,-157.64,33.00,,,,,
46086,36524,47686,0,33.43,303.02,-159.59,33.12,,,,,
46086,36613,47686,0,32.37,304.01,-159.81,33.22,,,,,
46086,36613,47943,0,30.10,302.11,-161.94,33.35,,,,,
46086,36613,47943,0,28.89,301.62,-162.16,33.38,,,,,
46285,36613,47943,0,28.94,300.07,-162.68,33.50,,,,,
46285,36685,47943,0,27.29,297.86,-162.55,33.60,,,,,
46285,36685,47546,0,27.67,298.23,-162.60,33.73,,,,,
46285,36685,47546,0,27.50,298.71,-162.65,33.76,,,,,
46606,36685,47546,0,25.90,300.09,-161.42,33.88,,,,,
46606,36579,47546,0,20.69,298.19,-155.73,33.98,,,,,
46606,36579,46431,0,13.93,302.42,-147.21,34.11,,,,,
46606,36579,46431,0,16.18,303.29,-145.49,34.13,,,,,
47771,36579,46431,0,17.32,310.02,-141.64,34.26,,,,,
47771,36536,46431,0,17.60,314.74,-136.81,34.36,,,,,
47771,36536,44138,0,10.99,319.30,-126.56,34.48,,,,,
47771,36536,44138,0,12.74,320.53,-123.73,34.51,,,,,
52186,36536,44138,0,-14.20,350.48,-98.37,34.64,,,,,
52186,37779,44138,0,-19.49,270.74,-88.00,34.75,,,,,
52186,37779,44780,0,-13.67,184.33,-84.00,34.87,,,,,
52186,37779,44780,0,-10.32,136.92,-82.83,34.89,,,,,
55606,37779,44780,0,75.59,85.99,-70.45,35.04,,,,,
55606,38300,44780,0,159.34,50.83,-65.23,35.14,,,,,
55606,38300,44941,0,234.83,25.92,-59.89,35.26,,,,,
55606,38300,44941,0,265.56,22.89,-58.50,35.29,,,,,
55713,38300,44941,0,318.22,19.65,-55.20,35.43,,,,,
55713,40177,44941,0,353.83,17.92,-55.29,35.54,,,,,
55713,40177,44678,0,353.83,17.92,-52.50,35.66,,,,,
55713,40177,44678,0,353.83,17.92,-51.97,35.69,,,,,
55503,40177,44678,0,353.83,17.92,-45.27,35.83,,,,,
55503,43296,44678,0,353.83,17.92,-45.00,35.95,,,,,
55503,43296,44744,0,353.83,17.92,-41.48,36.07,,,,,
55503,43296,44744,0,353.83,17.92,-41.05,36.09,,,,,
